,Unnamed: 0,Unnamed: 0.1,hid,建案名稱,每坪單價(萬元/坪),每坪單價(低),每坪單價(高),均價,基地地址-縣市,基地地址-鄉鎮區,基地地址,格局規劃,交屋時間,預期完工,基地面積(坪),棟戶規劃,樓層規劃,結構工程,用途規劃,土地分區,投資建設,建材說明,建築設計,營造公司,建造執照,使用執照
0,0,0,115256,小春日和,24~26萬元/坪,24.0,26.0,25.0,台中市,北屯區,景賢南二路,二房(25.09坪)、三房(40.57坪)、2+1房(33.7坪),,2019年下半年,606,1棟，121戶住家，5戶店面,地上15層，地下4層,RC,住商用,第三之ㄧ種商業區,和築建設股份有限公司,暫無,吳六合建築師事務所,國城營造有限公司,104中都建字第00701號,暫無
1,1,1,116867,IG愛家,17~19萬元/坪,17.0,19.0,18.0,高雄市,楠梓區,通昌街88號,二房(23~25坪)、三房(35~47坪),時間待定,,498,1棟，109戶住家，2戶店面,地上15層，地下3層,RC,住商用,第四種住宅區,城揚建設股份有限公司,暫無,梁慶源建築師事務所,允良營造有限公司,(104)高市工建築字第02629號,暫無
2,2,2,111953,文賢苑,28~30萬元/坪,28.0,30.0,29.0,高雄市,新興區,七賢二路39號,二房(23~26坪)、三房(34~36坪),隨時交屋,,171.52,1棟，84戶住家，1戶店面,地上15層，地下3層,RC,住家用,暫無,崑郡建設股份有限公司,暫無,林魁建築師事務所,暫無,(103)高市工建築字第01256號,(105)高市工建築使字第00592號
3,3,3,115083,恆上沐悅,23~28萬元/坪,23.0,28.0,25.5,高雄市,三民區,河北二路228號,二房(22~32坪)、三房(48坪),隨時交屋,,304.31,1棟，61戶住家，2戶店面,地上14層，地下3層,RC,住家用,第四種住宅區,恆上建設開發企業股份有限公司,衛浴為和成超級智慧馬桶、TOTO面盆、4合1暖風機、BWT軟水設備；廚具為櫻花；電梯為永大(12人座),林子森、林伯諭,大成工程股份有限公司,(103)高市工建築字第01861號,(106)高市工建築使字第01143號
4,4,4,110896,龍騰城堡,18~21萬元/坪,18.0,21.0,19.5,高雄市,三民區,建興路57號,三房(70~98坪)、四房(84~98坪),隨時交屋,,660,1棟，100戶住家，4戶店面,地上28層，地下6層,SRC,住商用,第四種商業區,龍騰建設股份有限公司,暫無,謝慶旺建築師,天玉營造有限公司,(100)高市工建築字第02356號,(104)高市工建築使字第01923號
5,5,5,115308,多城植哉,25~28萬元/坪,25.0,28.0,26.5,高雄市,左營區,文恩路165號,三房(36~42坪),隨時交屋,,313,1棟，39戶住家，2戶店面,地上12層，地下3層,RC,住家用,第四種住宅區,尚紘建設,廚具：喜特麗；衛浴：TOTO、美標,林子森林伯諭聯合建築師事務所,菩提營造股份有限公司,(104)高市工建築字第01451號,(106)高市工建築使字第01377號
6,6,6,117000,元寶?囍,41萬元/坪,41.0,,41.0,新北市,新店區,光華街10號,二房(26~31坪)、三房(38~39坪),隨時交屋,,368,1棟，88戶住家，4戶店面,地上14層，地下4層,RC,住商用,第二種商業區，第三種住宅區,元寶建設股份有限公司,櫻花雙機，和成免治馬桶，Husky暖風機,李中嫻建築師事務所,美源營造股份有限公司,103店建字第00141號,107店使字第00050號
7,7,7,116434,協和澄心,22~24萬元/坪,22.0,24.0,23.0,台中市,北屯區,太和東街vs太和一街,二房(31~33坪)、三房(36~44坪),,2019年第二季度,493.5,1棟，71戶住家,地上13層，地下3層,RC,住家用,第三種住宅區,協和建設股份有限公司,暫無,吳六合建築師事務所,洛城營造有限公司,105中都建字第00370號,暫無
8,8,8,118228,A8棧,31~33萬元/坪,31.0,33.0,32.0,桃園市,龜山區,復興二路131巷20號,二房(22~30坪)、三房(37坪),2019年4月,,777.12,2棟，73戶住家，10戶店面,地上10層，地下2層,RC,住商用,第二種住宅區,久鈺建設有限公司,廚房：韓國三星人造大理石檯面、櫻花三機 衛浴：和成馬桶、Panasonic暖風排風機 門窗：正新氣密窗 玻璃：台灣玻璃,李俊利建築師事務所,欣洋營造工程股份有限公司,(105)桃市都建執照字第會龜00918-01號,(108)桃市都施使字第龜00027號
9,9,9,118300,昇揚四季文華,33~38萬元/坪,33.0,38.0,35.5,台中市,西屯區,黎明路三段VS漢翔路,三房(28.5~35坪)、四房(42坪),,2022年第四季度,547,1棟，86戶住家，2戶店面,地上20層，地下4層,RC,住商用,第二種住宅區,昇揚開發實業有限公司,暫無,王紹述建築師事務所,建基營造股份有限公司,103中都建字第02151號,暫無
10,10,10,111914,寬境,23~36萬元/坪,23.0,36.0,29.5,高雄市,苓雅區,河北路238號,四房(70~88坪),隨時交屋,,756,1棟，99戶住家,地上27層，地下4層,RC,住家用,第五種住宅區,勤寬建設股份有限公司,YKK鋁門窗、TOTO免治馬桶、GROHE龍頭五金,鄭純茂建築師事務所,義展營造工程股份有限公司,(101)高市工建築字第01408號,(104)高市工建築使字第01760號
11,11,11,112773,晴空SKY1,36~38萬元/坪,36.0,38.0,37.0,新北市,五股區,新五路三段153號,一房(16~18坪)、二房(19~22坪)、三房(33坪),隨時交屋,,1636,2棟，306戶住家，11戶店面,地上19層，地下4層,RC,住家用,住宅區,中德建設股份有限公司,RC鋼筋混凝土構造，櫻花廚具、和成衛浴、SVAGO微烤爐 ,呂建勳建築師事務所,紹華營造股份有限公司,103-00615,106-00322
12,12,12,112449,寶石君品苑,45~55萬元/坪,45.0,55.0,50.0,新北市,三重區,光復路一段46~52號,三房(55坪)、四房(62~70坪)、五房(84坪),隨時交屋,,1543,2棟，200戶住家，4戶店面,地上31層，地下4層,暫無,住家用,暫無,寶石建設,SRC鋼骨鋼筋混凝土，中空樓板，80X80拋光石英磚，TOTO、國際牌全套衛浴，林內廚具，昭和氣密窗，Low-E膠合玻璃，綠建材標章環保塗料,三門建築師事務所,暫無,99-00616,104-00088
13,13,13,114375,聯上V1,23~26萬元/坪,23.0,26.0,24.5,高雄市,新興區,七賢二路57號,二房(24坪)、三房(42坪),隨時交屋,,267,1棟，112戶住家，2戶店面,地上15層，地下5層,RC,住家用,第五種商業區,聯上實業股份有限公司,TOTO衛浴、德國進口LEICHT廚具 ,張文明,美力營造股份有限公司,(103)高市工建築字第00732號,(106)高市工建築使字第00630號
14,14,14,110758,康朋街,23~26萬元/坪,23.0,26.0,24.5,高雄市,三民區,民族一路639號,三房(38坪)、四房(45~52坪),隨時交屋,,472,3棟，98戶住家，4戶店面,地上15層，地下3層,RC,住家用,第五種住宅區,城揚建設,林內三機廚具(落地式烘碗機、雙口玻璃檯面爐；搭配美國杜邦可麗耐檯面、BOSCH嵌入式烤箱)、HCG衛浴(搭配智慧超級馬桶)、德國Grohe水龍頭、WAFERLOCK三合一電子鎖、TOSHIBA電梯(13人座)、冠軍磁磚、中華氣密窗(5+5mm雙強化)、玻纖防火門,梁慶源建築師事務所,允良營造有限公司,(101)高市工建築字第00501號,(105)高市工建築使字第00160號
15,15,15,116030,翔譽愛力,59~68萬元/坪,59.0,68.0,63.5,台北市,內湖區,新明路428巷,二房(21~26坪),,2019年下半年,630,1棟，166戶住家,地上20層，地下4層,RC,住家用,第三住宅區,翔譽國際建設股份有限公司,待定,陳廷杰建築師事務所,泛亞工程,104-0236,暫無
16,16,16,114697,凌波揚,25~37萬元/坪,25.0,37.0,31.0,台南市,中西區,華平路982號,三房(70~100坪),隨時交屋,,801.37,1棟，88戶住家,地上24層，地下4層,RC,住家用,「住四」住宅區,宗大建設股份有限公司,Duravit衛浴；Bulthaup、德匠廚具；三菱電梯(17人座),張景堯、許錦榮,合新營造有限公司,(103)南工造字第00689號,(106)南工使字第02235號
17,17,17,116751,AiCITY樂捷市,25萬元/坪,25.0,,25.0,桃園市,龜山區,樂捷段105-3地號,二房(26坪)、三房(38坪)、1+1房(25坪)、3+1房(44坪),,2019年12月,1848.44,8棟，326戶住家，20戶店面,地上15層，地下3層,RC,住商用,住四,鴻築建設股份有限公司,待定,聶玉璞,國城營造有限公司,106-00372,暫無
18,18,18,110760,GIGA巨蛋核心城,28~30萬元/坪,28.0,30.0,29.0,高雄市,鼓山區,文信路319號之1,三房(40~43坪)、四房(61~71坪),隨時交屋,,800,4棟，182戶住家，8戶店面,地上15層，地下4層,RC,住商用,商4,晟揚建設有限公司,大門採鑄鋁防火鋼木門、義大利CISA頂級鎖匣，搭配三合一電子鎖。廚房啟用美國杜邦人造石檯面、瑞典Electrolux瓦斯爐、德國原裝進口Pronorm系統櫃、BOSCH全嵌式洗碗機、BOSCH嵌入式烤箱(限4房)。兩套四件式衛浴開窗，主臥衛浴採德國Hansgrohe面盆龍頭、美國KOHLER面盆、阿曼米黃石材檯面、美國KOHLER淋浴花灑龍頭、義大利CRISTINA浴缸龍頭、HCG超級馬桶,梁慶源建築師事務所,暫無,102-00094,104-01743
19,19,19,110923,美術綠原道,24~30萬元/坪,24.0,30.0,27.0,高雄市,鼓山區,馬卡道路353號,四房(59~85坪),隨時交屋,,457,1棟，66戶住家，2戶店面,地上19層，地下4層,暫無,住家用,暫無,晟揚建設,暫無,梁慶源建築師事務所,暫無,(100)高市工建築字第00682號,(105)高市工建築使字第01490
20,20,20,110605,湛高峰,27~30萬元/坪,27.0,30.0,28.5,新竹縣,竹北市,莊敬三路250號,四房(55~66坪),隨時交屋,,1496,2棟，268戶住家，7戶店面,地上29層，地下5層,暫無,住家用,暫無,"浩瀚開發建設,豐邑機溝",暫無,王銘鴻,暫無,建101-0522,使104-0221
21,21,21,117674,文化潤隆,24~27萬元/坪,24.0,27.0,25.5,高雄市,苓雅區,三多二路1號(三信家商斜對面),二房(21~27坪)、三房(34~38坪),,2020年下半年,1455,2棟，377戶住家，20戶透天,地上22層，地下3層,RC,住家用,第二種特定商業專用區，第四種住宅區,潤隆建設股份有限公司,INAX衛浴、義大利PAFFONI五金、Lifegear四合一暖風機、櫻花廚具、活水系統設計、當層排氣、雨水回收系統、SA鋼筋續接器、ForceLock二合一電子鎖、,謝慶旺-群旺建築事務所,齊裕營造股份有限公司,(107)高市工建築字第00778-01號,暫無
22,22,22,115355,京城上新光,20~22萬元/坪,20.0,22.0,21.0,台南市,南區水,交社路1號,二房(23~30坪)、三房(39~41坪),隨時交屋,,928,6棟，144戶住家，5戶店面,地上14層，地下3層,RC,住家用,「住七」住宅區，「住二」住宅區，「住五-1」住宅區,京成建設股份有限公司,西班牙賽麗石檯面、林內3機、V&B面盆、GROHE龍頭、KARAT全智能馬桶、Panasonic暖風機,曾永信建築師事務所,百鋐營造股份有限公司,(103)南工造字第03430-02號,(106)南工使字第03234號
23,23,23,113923,文化藏美,37~39萬元/坪,37.0,39.0,38.0,高雄市,苓雅區,青年一路15號,三房(51~73坪),隨時交屋,,330,1棟，50戶住家，2戶店面,地上14層，地下4層,RC,住家用,住宅區,藏真建設股份有限公司,新日鐵製震、全棟淨軟水、昭和氣密窗、Low-E玻璃、中空樓板,呂建勳、張文懋,壬寶營造,(101)高市工建築字第00013號,(105)高市工建築使字第01726號
24,24,24,115193,博識,36萬元/坪,36.0,,36.0,台中市,南屯區,向上路VS河南路口,二房(21~24坪)、三房(36坪)、四房(42~46坪),,2019年下半年,853,1棟，260戶住家，6戶店面,地上24層，地下5層,RC,住商用,第五種住宅區,興富發建設,KARAT衛浴,大容聯合建築師事務所,齊裕營造,105中都建字第02016號,暫無
