GIA Number,Shape,Carat,Color,Clarity,Cut,Price
6302897816,round,1.1,D,FL,EX,531247
6193605114,round,1.27,D,FL,EX,628587
5182557488,round,2.47,D,FL,EX,2606712
1315220514,round,0.3,D,IF,EX,22929
6305138197,round,0.31,D,IF,EX,23727
7302961760,round,0.31,D,IF,EX,23727
6305318234,round,0.33,D,IF,EX,25322
1305907144,round,0.34,D,IF,EX,26120
6311230567,round,0.34,D,IF,EX,26120
7311286294,round,0.37,D,IF,EX,29825
1308937076,round,0.37,D,IF,EX,29825
2216939961,round,0.4,D,IF,EX,43717
2217792235,round,0.41,D,IF,EX,44835
6232150584,round,0.42,D,IF,EX,45953
5246449942,round,0.42,D,IF,EX,45953
6251788613,round,0.5,D,IF,EX,75129
2195326187,round,0.51,D,IF,EX,76651
3295813404,round,0.53,D,IF,EX,79696
6281570318,round,0.55,D,IF,EX,82742
1192199987,round,0.57,D,IF,EX,89258
2195784181,round,0.61,D,IF,EX,103642
7261606961,round,0.62,D,IF,EX,105357
1297067664,round,0.71,D,IF,EX,152474
6187755960,round,0.72,D,IF,EX,154635
6272170021,round,1.02,D,IF,EX,455894
2316248942,round,0.3,D,VVS1,EX,16862
7303931936,round,0.31,D,VVS1,EX,17457
6282851704,round,0.31,D,VVS1,EX,17457
1289989074,round,0.31,D,VVS1,EX,17457
2306286156,round,0.31,D,VVS1,EX,17457
7246899046,round,0.32,D,VVS1,EX,18053
3265513698,round,0.32,D,VVS1,EX,18053
6261751186,round,0.32,D,VVS1,EX,18053
6305104290,round,0.32,D,VVS1,EX,18053
7308103049,round,0.32,D,VVS1,EX,18053
1308318052,round,0.32,D,VVS1,EX,18053
1307786104,round,0.32,D,VVS1,EX,18053
5306503977,round,0.32,D,VVS1,EX,18053
1308345983,round,0.32,D,VVS1,EX,18053
1305857765,round,0.33,D,VVS1,EX,18648
5283296761,round,0.33,D,VVS1,EX,18648
5303960809,round,0.33,D,VVS1,EX,18648
1313201895,round,0.33,D,VVS1,EX,18648
1299751868,round,0.33,D,VVS1,EX,18648
7301367733,round,0.33,D,VVS1,EX,18648
2294036787,round,0.33,D,VVS1,EX,18648
5313287149,round,0.34,D,VVS1,EX,19243
6315017379,round,0.34,D,VVS1,EX,19243
1255059666,round,0.4,D,VVS1,EX,33306
2256464878,round,0.41,D,VVS1,EX,34163
7281483104,round,0.42,D,VVS1,EX,35021
6157383344,round,0.45,D,VVS1,EX,45161
5192512139,round,0.57,D,VVS1,EX,72618
6282625340,round,0.59,D,VVS1,EX,77167
5192187466,round,0.6,D,VVS1,EX,82992
1169225543,round,0.63,D,VVS1,EX,87191
2304044670,round,0.7,D,VVS1,EX,120745
2131253229,round,0.71,D,VVS1,EX,122485
2195609428,round,0.81,D,VVS1,EX,159634
5293667913,round,1.16,D,VVS1,EX,433111
5286365527,round,1.3,D,VVS1,EX,532356
6301016211,round,0.3,D,VVS2,EX,16266
6301682971,round,0.3,D,VVS2,EX,16266
5186316590,round,0.3,D,VVS2,EX,16266
7303654662,round,0.3,D,VVS2,EX,16266
2307643193,round,0.3,D,VVS2,EX,16266
6302961634,round,0.31,D,VVS2,EX,16842
2316286206,round,0.31,D,VVS2,EX,16842
6302507508,round,0.32,D,VVS2,EX,17418
7303961701,round,0.32,D,VVS2,EX,17418
1303889708,round,0.32,D,VVS2,EX,17418
1309868984,round,0.32,D,VVS2,EX,17418
5283930281,round,0.32,D,VVS2,EX,17418
1298750707,round,0.33,D,VVS2,EX,17993
7306001813,round,0.33,D,VVS2,EX,17993
7292505253,round,0.33,D,VVS2,EX,17993
6291877473,round,0.33,D,VVS2,EX,17993
1305438710,round,0.33,D,VVS2,EX,17993
1285106629,round,0.33,D,VVS2,EX,17993
5303935722,round,0.33,D,VVS2,EX,17993
6305845789,round,0.33,D,VVS2,EX,17993
3305168127,round,0.33,D,VVS2,EX,17993
6197511549,round,0.33,D,VVS2,EX,17993
7308472777,round,0.34,D,VVS2,EX,18569
6295588605,round,0.34,D,VVS2,EX,18569
6292092509,round,0.34,D,VVS2,EX,18569
6291877673,round,0.34,D,VVS2,EX,18569
1317015801,round,0.34,D,VVS2,EX,18569
2304435400,round,0.34,D,VVS2,EX,18569
1293634585,round,0.34,D,VVS2,EX,18569
6305252584,round,0.35,D,VVS2,EX,19144
6305801324,round,0.35,D,VVS2,EX,19144
6302094216,round,0.35,D,VVS2,EX,19144
5303146589,round,0.36,D,VVS2,EX,20985
1313015134,round,0.36,D,VVS2,EX,20985
6302634873,round,0.36,D,VVS2,EX,20985
6262755139,round,0.4,D,VVS2,EX,30524
6272202775,round,0.41,D,VVS2,EX,31312
6262825049,round,0.41,D,VVS2,EX,31312
7268998337,round,0.42,D,VVS2,EX,32100
5296117483,round,0.42,D,VVS2,EX,32100
5293423162,round,0.5,D,VVS2,EX,53540
5293799784,round,0.5,D,VVS2,EX,53540
1309230012,round,0.5,D,VVS2,EX,53540
2294935086,round,0.5,D,VVS2,EX,53540
1192660430,round,0.51,D,VVS2,EX,54631
2191665469,round,0.52,D,VVS2,EX,55722
2286258929,round,0.52,D,VVS2,EX,55722
1253088624,round,0.53,D,VVS2,EX,56812
1238802944,round,0.53,D,VVS2,EX,56812
7303802207,round,0.56,D,VVS2,EX,62630
2166532014,round,0.57,D,VVS2,EX,66357
2264365327,round,0.6,D,VVS2,EX,75356
2258978040,round,0.6,D,VVS2,EX,75356
1179573387,round,0.6,D,VVS2,EX,75356
7226015005,round,0.61,D,VVS2,EX,76629
2226902753,round,0.71,D,VVS2,EX,111900
5136769815,round,0.73,D,VVS2,EX,115081
1199967186,round,0.82,D,VVS2,EX,147678
6281873558,round,1.01,D,VVS2,EX,332043
7283985741,round,1.08,D,VVS2,EX,355055
7272311963,round,1.42,D,VVS2,EX,530080
2185966519,round,2.26,D,VVS2,EX,1676684
1303324809,round,0.3,D,VS1,EX,15198
1308735961,round,0.31,D,VS1,EX,15738
6312207152,round,0.32,D,VS1,EX,16278
7318282286,round,0.32,D,VS1,EX,16278
6305345487,round,0.32,D,VS1,EX,16278
6301703201,round,0.32,D,VS1,EX,16278
1309300832,round,0.35,D,VS1,EX,17898
1298731776,round,0.41,D,VS1,EX,29809
1119771115,round,0.42,D,VS1,EX,30560
6261486312,round,0.45,D,VS1,EX,38923
6265307580,round,0.46,D,VS1,EX,42041
5316225039,round,0.5,D,VS1,EX,48086
1308014714,round,0.5,D,VS1,EX,48086
1309123173,round,0.51,D,VS1,EX,49068
1319093688,round,0.51,D,VS1,EX,49068
1303731741,round,0.52,D,VS1,EX,50049
7301693777,round,0.52,D,VS1,EX,50049
2297620260,round,0.53,D,VS1,EX,51031
1318284994,round,0.55,D,VS1,EX,52995
1139766429,round,0.56,D,VS1,EX,56267
1288117984,round,0.6,D,VS1,EX,66084
2266281554,round,0.6,D,VS1,EX,66084
6281010050,round,0.61,D,VS1,EX,67202
6272865351,round,0.7,D,VS1,EX,103353
5191236507,round,0.7,D,VS1,EX,103353
1196698764,round,0.8,D,VS1,EX,134986
5192450175,round,1.11,D,VS1,EX,340568
1299567281,round,1.2,D,VS1,EX,377053
6305081630,round,1.33,D,VS1,EX,442483
6282634461,round,2.51,D,VS1,EX,1803597
1305246369,round,0.3,D,VS2,EX,14598
6305161596,round,0.3,D,VS2,EX,14598
7306137790,round,0.3,D,VS2,EX,14598
7306515036,round,0.3,D,VS2,EX,14598
1293811386,round,0.3,D,VS2,EX,14598
5303157543,round,0.31,D,VS2,EX,15118
6302392842,round,0.31,D,VS2,EX,15118
2307264326,round,0.32,D,VS2,EX,15638
2308119234,round,0.32,D,VS2,EX,15638
7293978960,round,0.32,D,VS2,EX,15638
7296327520,round,0.32,D,VS2,EX,15638
6295371882,round,0.32,D,VS2,EX,15638
2296462680,round,0.34,D,VS2,EX,16678
1303582110,round,0.35,D,VS2,EX,17198
7301300608,round,0.36,D,VS2,EX,18569
2111775840,round,0.4,D,VS2,EX,27179
6301158752,round,0.4,D,VS2,EX,27179
7266732031,round,0.46,D,VS2,EX,39351
1298342849,round,0.5,D,VS2,EX,44814
2297390195,round,0.5,D,VS2,EX,44814
6292603457,round,0.5,D,VS2,EX,44814
6282650897,round,0.51,D,VS2,EX,45730
2191210406,round,0.51,D,VS2,EX,45730
1196255008,round,0.51,D,VS2,EX,45730
